date, pm25, pm10
4/1/2023,266,100
4/2/2023,209,72
4/3/2023,162,81
4/4/2023,177,106
4/5/2023,223,140
4/6/2023,275,154
4/7/2023,291,114
4/8/2023,223,113
4/9/2023,206, 
4/10/2023,168, 
1/2/2023,80,37
1/3/2023,79,32
1/4/2023,75,36
1/5/2023,75,29
1/6/2023,66,23
1/7/2023,68,35
1/8/2023,93,51
1/9/2023,95,40
1/10/2023,87,44
1/11/2023,87,41
1/12/2023,91,38
1/13/2023,83,33
1/14/2023,80,34
1/15/2023,88,44
1/16/2023,107,48
1/17/2023,109,53
1/18/2023,127,53
1/19/2023,129,51
1/20/2023,110,44
1/21/2023,106,45
1/22/2023,109,45
1/23/2023,107,50
1/24/2023,117,54
1/25/2023,131,59
1/26/2023,139,63
1/27/2023,145,56
1/28/2023,141,50
1/29/2023,135,50
1/30/2023,110,60
1/31/2023,132,64
2/1/2023,154,65
2/2/2023,157,70
2/3/2023,160,66
2/4/2023,161,57
2/5/2023,146,43
2/6/2023,93,47
2/7/2023,85,48
2/8/2023,96,58
2/9/2023,133,53
2/10/2023,118,49
2/11/2023,124,52
2/12/2023,131,58
2/13/2023,151,68
2/14/2023,160,91
2/15/2023,183,53
2/16/2023,139,24
2/17/2023,67,25
2/18/2023,63,26
2/19/2023,69,50
2/20/2023,115,61
2/21/2023,152,64
2/22/2023,150,62
2/23/2023,154,51
2/24/2023,121,60
2/25/2023,154,58
2/26/2023,147,64
2/27/2023,153,71
2/28/2023,161,82
3/1/2023,170,78
3/2/2023,168,82
3/3/2023,175,79
3/4/2023,174,76
3/5/2023,169,72
3/6/2023,165,71
3/7/2023,168,75
3/8/2023,169,73
3/9/2023,168,81
3/10/2023,175,81
3/11/2023,175,86
3/12/2023,182,56
3/13/2023,150,50
3/14/2023,139,50
3/15/2023,138,47
3/16/2023,134,44
3/17/2023,113,52
3/18/2023,131,53
3/19/2023,140,45
3/20/2023,119,54
3/21/2023,151,62
3/22/2023,155,63
3/23/2023,157,64
3/24/2023,157,77
3/25/2023,174,82
3/26/2023,185,81
3/27/2023,181,76
3/28/2023,167,108
3/29/2023,215,102
3/30/2023,207,123
3/31/2023,245,137
10/1/2022,37,14
10/2/2022,38,17
10/3/2022,42,18
10/4/2022,38,21
10/5/2022,47,23
10/6/2022,55,23
10/7/2022,55,21
10/8/2022,50,21
10/9/2022,53,18
10/10/2022,48,21
10/11/2022,50,28
10/12/2022,62,27
10/13/2022,64,24
10/14/2022,63,28
10/15/2022,66,31
10/16/2022,79,40
10/17/2022,95,41
10/18/2022,95,37
10/19/2022,82,40
10/20/2022,85,36
10/21/2022,85,26
10/22/2022,64,20
10/23/2022,56,30
10/24/2022,74,43
10/25/2022,101,40
10/26/2022,90,33
10/27/2022,78,29
10/28/2022,65,28
10/29/2022,66,32
10/30/2022,71,37
10/31/2022,79,38
11/1/2022,83,39
11/2/2022,85,37
11/3/2022,82,34
11/4/2022,80,35
11/5/2022,85,36
11/6/2022,86,39
11/7/2022,86,40
11/8/2022,90,43
11/9/2022,98,40
11/10/2022,92,40
11/11/2022,83,37
11/12/2022,87,34
11/13/2022,79,34
11/14/2022,75,29
11/15/2022,69,23
11/16/2022,60,26
11/17/2022,55,22
11/18/2022,58,25
11/19/2022,60,27
11/20/2022,65,28
11/21/2022,63,29
11/22/2022,67,27
11/23/2022,61,30
11/24/2022,74,31
11/25/2022,67,28
11/26/2022,68,28
11/27/2022,65,31
11/28/2022,65,28
11/29/2022,61,29
11/30/2022,63,32
12/1/2022,60,29
12/2/2022,60,32
12/3/2022,57,31
12/4/2022,64,27
12/5/2022,53,32
12/6/2022,63,32
12/7/2022,65,38
12/8/2022,66,38
12/9/2022,68,32
12/10/2022,69,25
12/11/2022,45,30
12/12/2022,66,42
12/13/2022,82,47
12/14/2022,89,50
12/15/2022,99,48
12/16/2022,104,41
12/17/2022,99,38
12/18/2022,95,40
12/19/2022,84,51
12/20/2022,100,44
12/21/2022,113,48
12/22/2022,103,37
12/23/2022,95,44
12/24/2022,107,47
12/25/2022,122,48
12/26/2022,107,47
12/27/2022,100,46
12/28/2022,99,40
12/29/2022,104,37
12/30/2022,98,34
12/31/2022,93,38
1/1/2023,99,30
7/1/2022,44,22
7/2/2022,47,21
7/3/2022,46,25
7/4/2022,46,22
7/5/2022,45,23
7/6/2022,44,19
7/7/2022,38,23
7/8/2022,45,21
7/9/2022,43,18
7/10/2022,44,23
7/11/2022,47,22
7/12/2022,42,21
7/13/2022,50,19
7/14/2022,43,16
7/15/2022,42,21
7/16/2022,46,21
7/17/2022,46,26
7/18/2022,52,31
7/19/2022,62,21
7/20/2022,49,24
7/21/2022,49,18
7/22/2022,41,18
7/23/2022,31,19
7/24/2022,35,25
7/25/2022,48,27
7/26/2022,54,30
7/27/2022,58,29
7/28/2022,61,29
7/29/2022,64,35
7/30/2022,70,21
7/31/2022,40,24
8/1/2022,51,22
8/2/2022,50,20
8/3/2022,35,20
8/4/2022,36,22
8/5/2022,46,19
8/6/2022,39,19
8/7/2022,41,18
8/8/2022,39,18
8/9/2022,34,22
8/10/2022,43,24
8/11/2022,44,17
8/12/2022,41,21
